Id,Label,timeset,modularity_class
"实体",,,0
"值",,,0
"红色食品",,,15
"否",,,15
"非科学",,,3
"生活",,,15
"大龙湫",,,1
"芙蓉峰",,,1
"剪刀峰",,,1
"中国",,,5
"旅游",,,1
"地理",,,1
"地形地貌",,,1
"五大夫松",,,5
"地点",,,1
"历史",,,2
"灵峰",,,1
"景区",,,1
"雁荡山",,,1
"乐清市",,,1
0577,,,1
"半天",,,1
"滴度",,,3
"效价",,,3
"医学",,,3
"三大污染",,,6
"社会",,,6
"奥林匹克精神",,,6
"体育协会",,,6
"山脉",,,1
"亚健康",,,3
"内科",,,3
"无",,,3
"文化",,,2
"磁筹",,,3
"科学",,,3
"多糖体",,,3
polysaccharide,,,3
"动植物",,,3
"医学术语",,,3
"互联网产品",,,3
"萝卜腿",,,3
"疾病",,,3
"信息化",,,3
"釉质",,,3
"动物界",,,26
"学科",,,3
"超线程",,,6
2002年,,,23
"英特尔",,,6
"软件",,,3
"技术",,,3
"贡丸",,,15
"猪肉",,,15
"代码",,,3
"程序员",,,3
"中国电子学会",,,3
"百度百科",,,5
2006年4月20日,,,5
"百科蝌蚪团",,,5
"百科明星团",,,5
"用科技让复杂的世界更简单",,,3
"回溯法",,,3
A股,,,6
T+1,,,6
"股票经济术语",,,6
"金融",,,6
"教育",,,23
"免费域名",,,3
"网站",,,3
"股权分置",,,6
"社会公众股",,,6
"经济",,,6
"域名",,,3
"互联网",,,3
"公司",,,6
"绿茶[茶叶品种]",,,15
"苦茗",,,15
"特产",,,15
"围绝经期综合征",,,3
"妇产科",,,3
"镜像站点",,,3
"幻听[许嵩演唱歌曲]",,,4
"《梦游计》",,,4
"流行",,,4
"黄中平",,,4
"普通话",,,4
"音乐作品",,,4
"流行音乐",,,4
"单曲",,,4
"馒头[中国传统食物]",,,15
"冷藏",,,15
"南方地区",,,15
"诸葛亮",,,15
psp[日本SONY公司开发的多功能掌机系列],,,3
"掌上游戏机",,,3
2004年12月12日,,,3
UMD,,,3
"结构化查询语言",,,3
"数据库",,,3
"通信技术",,,3
"软件[按照特定顺序组织的计算机数据和指令的集合]",,,3
"棒球[体育运动]",,,5
baseball,,,5
"扇形",,,5
"体育项目",,,5
"诺顿[国产三维动画《画江湖之换世门生》角色]",,,5
"王凯",,,5
"男",,,5
"鸿门",,,5
"人物",,,5
"暴风影音[电脑版软件]",,,1
"北京暴风科技股份有限公司",,,1
"简体中文",,,2
"免费",,,1
"冯鑫",,,1
MVC框架,,,1
1982年,,,1
"自动取款机[自动柜员机]",,,5
1967年,,,5
"乱码[汉语词语]",,,3
"汇编语言[面向机器的程序设计语言]",,,3
"软件工程",,,3
UBB代码,,,3
"个人所得税",,,3
"缺省",,,3
"脂肪[油性物质]",,,15
"中国食品科学技术学会",,,15
Java[计算机编程语言],,,3
"副本率",,,3
"嵌入式开发",,,3
"机器码",,,3
"识别码",,,3
"概念",,,3
"中国通信学会",,,3
"还原精灵",,,3
"安全软件",,,3
"果酸",,,15
"化妆品",,,15
"专有名词",,,3
"禅学",,,6
"梵文",,,6
"佛教",,,6
"宗教",,,6
"电骡",,,3
"解压缩软件",,,3
"压缩工具",,,3
"掩码",,,3
"缓存",,,3
IT,,,3
"硬件",,,3
"光域网",,,3
"转义字符",,,3
"阿门[犹太教、基督宗教的宗教用语]",,,97
"希伯来语",,,97
"但愿如此",,,97
"梭哈",,,6
"过敏性鼻炎",,,3
"耳鼻喉科",,,3
"磁盘碎片",,,3
"文件碎片",,,3
"赔率",,,5
odds,,,5
"欧洲",,,1
1790年,,,5
"足球",,,5
"达赖",,,5
"蒙古族",,,5
"可扩展标记语言",,,3
"华硕[世界著名电脑品牌]",,,6
1989年,,,154
"徐世昌",,,6
"童子贤",,,6
"廖敏雄",,,6
"谢伟琦",,,6
"华硕电脑股份有限公司",,,6
"中国台湾",,,97
"大牌",,,6
"组织机构",,,23
"笔记本电脑",,,3
"知名品牌",,,6
"手机品牌",,,6
"奢侈品牌",,,6
"中国品牌",,,6
"般若[宗教术语]",,,6
ost[原声配乐],,,4
"音乐",,,4
"西汉长信宫灯",,,2
1968年,,,5
"河北省博物馆",,,2
"铜器",,,2
"不二法门[汉语成语佛学词汇]",,,2
"语言",,,2
"字词",,,2
"宏[计算机术语]",,,3
"佛教四大圣地",,,6
"佛教四大名山",,,6
cfo,,,5
"首席财务官",,,5
"官员",,,5
"第五类接触",,,3
"罗斯威尔事件",,,3
UFO,,,3
"艺术作品",,,14
"书籍",,,2
diy,,,15
"是",,,15
"美国有线电视新闻网",,,3
CNN,,,3
"特德·特纳",,,3
"脚本[汉语词语]",,,3
script,,,3
"电子公告牌系统",,,3
BBS,,,3
"吉祥三宝[布仁巴雅尔、乌日娜、英格玛演唱歌曲]",,,5
"天边",,,5
2005年,,,3
"回魂夜[香港电影]",,,9
"整鬼专家",,,9
1995年,,,6
"刘镇伟",,,9
"技安",,,9
"夏泽信",,,9
"彩色",,,9
"喜剧电影",,,9
"科幻电影",,,9
"恐怖电影",,,9
"电影作品",,,9
PHP[超文本预处理器],,,3
Rasmus Lerdorf,,,3
"美国联邦调查局",,,23
1935年,,,23
"约翰·埃德加·胡佛",,,23
"政府机构",,,6
mr.right[真命天子],,,2
Eenie Meenie,,,2
"国内生产总值",,,6
GDP,,,6
"demo[""demonstration""的缩写]",,,3
"原型",,,3
Zip[压缩文件格式],,,3
"菲利普·卡兹",,,3
"即心即佛",,,6
"财务挂账",,,2
"财政政策",,,6
"脱口秀",,,5
"娱乐",,,9
vj,,,9
"影像",,,9
"欧美",,,9
"拨备率",,,6
"数来宝",,,1
"曲艺",,,4
"北京市东城区",,,1
"隐蔽工程",,,1
"建筑",,,1
Google,,,3
1998年9月4日,,,3
"上市公司",,,23
"埃里克·施密特",,,3
"桑达尔·皮查伊",,,3
"尼科什·阿罗拉",,,3
"帕特里克·皮切特",,,3
"入定",,,6
"小说",,,2
tips,,,3
"学分制",,,6
"齐人之福",,,2
"原文",,,2
"成语",,,2
"生物工程",,,23
bioengineering,,,23
"四年",,,23
"工学学士",,,23
"大学",,,23
"被动语态",,,2
"语言学",,,2
"婴儿肥",,,15
"脸部",,,15
"人脉[交际学名词]",,,6
"弥散[汉语词汇]",,,1
ova[原创动画录影带],,,7
OVA,,,7
"变应原",,,3
"超敏反应",,,3
"非生物",,,3
qs[企业食品生产许可],,,6
"政治",,,6
"开光[汉语词语]",,,6
"道教",,,2
"南无阿弥陀佛[佛教术语]",,,8
"无量寿佛",,,8
"涅槃[佛教用语]",,,6
"西方极乐世界",,,6
"三长之制",,,2
"李冲",,,2
"古代史",,,2
"宾语",,,2
object,,,2
"受词",,,2
"动作",,,9
"独立主格结构",,,3
"电子信息工程",,,23
"工学",,,23
"电气信息类",,,23
"笔仙[2012年安兵基执导，梅婷主演惊悚电影]",,,9
"中国大陆",,,9
"弱电工程",,,3
"电力应用",,,3
"电机工程",,,3
"坐月子",,,2
"产妇",,,2
"西汉",,,2
"麻疹",,,3
measles,,,3
"儿童",,,3
"有",,,3
"飞沫传播",,,3
"上人",,,2
"僧侣",,,2
"采保费",,,23
"采购及保管费",,,23
"建筑行业",,,23
"足癣",,,3
"皮肤科",,,3
"代词[中文代词]",,,2
pronoun,,,2
pron,,,2
"立克次氏体",,,26
"细菌界",,,26
"变形菌门",,,26
"生物物种",,,26
"生物学",,,3
"微生物",,,26
"副词[英语副词]",,,2
adverb,,,2
adv.,,,2
"劈腿[汉语词汇]",,,9
"体操术语",,,9
"出轨",,,9
"激素",,,3
hormone,,,3
"荷尔蒙",,,3
"内分泌细胞",,,3
"仙人跳[用女色骗财的圈套]",,,6
"凌蒙初",,,6
"社会事件",,,6
"常春藤联盟",,,23
"高校联盟",,,23
"世界一流大学",,,23
"毛丝鼠",,,26
"脊索动物门",,,26
"脊椎动物亚门",,,26
"哺乳纲",,,26
"兽亚纲",,,26
"啮齿目",,,26
"豪猪亚目",,,26
"宠物",,,26
"动物",,,26
"生辰八字",,,2
"干支历",,,2
"内分泌失调",,,3
"内分泌科",,,3
"电解质",,,3
"化合物",,,3
"结婚恐惧症",,,3
"婚前恐惧症",,,3
"脑室",,,3
ventricle,,,3
"净资产",,,6
rush战术,,,9
"游戏",,,9
"工业生产总值",,,6
"溶血性贫血",,,3
"血液科",,,3
"净资产报酬率",,,6
"企业资产",,,6
"碳水化合物",,,3
"有机化合物",,,3
"中国化工学会",,,3
"先行词",,,2
antecedent,,,2
"模数化",,,3
module,,,3
"专业术语",,,3
"自然",,,26
"膳食纤维",,,15
"纵横家[中国权谋术派系]",,,2
"合纵连横",,,2
"《汉书·艺文志》",,,2
"鬼谷子",,,5
"出版物",,,2
"同位语从句",,,2
"株式会社",,,154
"博客[网络日志]",,,3
"电离",,,3
"化学过程",,,3
"山姆大叔[代指美国]",,,3
Uncle Sam,,,3
"别称",,,3
"十字军[由天主教士兵组成的军队]",,,2
"乌尔班二世",,,2
"计提",,,3
"自然哲学[哲学学科]",,,2
"舍利子[佛陀涅盘火化结晶体]",,,6
"通灵师[红袖添香网连载的小说]",,,2
"网络小说",,,2
"玄幻小说",,,2
"文学作品",,,2
"中国文学",,,2
3c[中国强制性产品认证],,,6
"中国强制认证",,,6
"认证标志",,,6
"陀飞轮[钟表调速装置]",,,4
1795年,,,4
"尤里[《红色警戒2》及《尤里的复仇》中的角色]",,,1
"罗马尼亚人",,,1
"尤杜·奇尔",,,1
"虚拟人物",,,5
"汇票",,,6
"异地结算",,,6
"法律术语",,,6
"基尼系数",,,6
"阿尔伯特·赫希曼",,,6
1943年,,,3
"政治经济学",,,6
"经济学",,,6
"银团包销",,,6
"承销者",,,6
"音标",,,3
IPA,,,3
1888,,,3
"语音",,,3
"犹太教",,,97
Judaism,,,97
"上帝",,,97
"以色列",,,97
"犹太族",,,97
"希伯来人",,,97
"摩西",,,97
"国税",,,6
"中华人民共和国发票管理办法",,,6
"速录",,,3
"斐波那契数列",,,3
"列昂纳多·斐波那契",,,3
1202年,,,3
"数学",,,3
"代数",,,3
"黄金分割",,,3
"血族[吉尔莫·德尔·托罗执导FX电视网剧集]",,,2
2014年,,,2
"美国",,,5
2014年7月13日,,,2
13,,,2
"电视剧",,,9
"角色扮演游戏",,,9
RPG,,,9
"会计[一种经济管理工作]",,,6
Accountant,,,6
"社会活动",,,6
"伊瓜苏市",,,1
"葡萄牙语",,,1
"城市",,,1
"阴阳[道家哲学思想]",,,2
"文学",,,2
"拓展训练[户外培训]",,,15
"物流管理[专业学科]",,,3
"资本主义[私有制经济制度]",,,6
capitalism,,,6
"文艺复兴时期",,,5
"资产阶级",,,6
"邻苯甲酰磺酰亚胺",,,3
"糖精",,,3
"不确定",,,3
"微溶",,,3
"甜味剂",,,3
Xn,,,3
"鳌",,,26
"真兽亚纲",,,26
"龟鳖目",,,26
"网游小说",,,2
"泡沫文学",,,2
"现代",,,2
"网络",,,2
"楚韵",,,2
"楚歌",,,2
"春秋战国",,,2
"古诗词",,,2
"博斯曼法案",,,6
"欧盟",,,6
"让·马克·博斯曼",,,6
5年,,,2
"五十步笑百步",,,2
"《孟子·梁惠王上》",,,2
"霸王硬上弓",,,2
"中国典故",,,2
"冰肌玉骨",,,2
"反越位",,,5
"足球术语",,,5
"体育",,,5
"股份制企业",,,1
"企业组织形式",,,1
"班驳",,,2
"外挂",,,9
"辅助",,,9
"衣原体",,,26
"沙眼",,,3
"从善如流",,,2
"公元前585年",,,2
"栾书",,,2
"大块朵颐",,,10
"狼吞虎咽",,,10
"补丁",,,3
patch,,,3
"原罪[宗教术语]",,,2
"成也萧何，败也萧何",,,2
"《史记·淮阴侯列传》",,,2
"血象",,,3
"参商[剑网三剧情歌]",,,4
"不才",,,4
"罗俊霖",,,4
"古风",,,4
"中文",,,2
"不置可否[汉语成语]",,,2
"蚩尤[上古时代九黎部落首领]",,,5
"兵主",,,5
"神州",,,5
"九黎族",,,5
"公元前2230年",,,5
"历史人物",,,5
"魑魅魍魉[汉语词语]",,,2
"贬义词",,,2
"志士仁人",,,2
"香港电影",,,9
"大型多人在线角色扮演游戏",,,9
"读书笔记",,,2
"第三代诗人",,,2
"营业税",,,6
"升水[汉语词语]",,,6
"贴水",,,6
"公文",,,6
"出线[体育名词]",,,5
"歹势",,,97
"闽南语",,,97
"碳酸氢钠",,,15
"化学试剂",,,15
"纯文学[词语释义]",,,2
"达摩克利斯之剑",,,2
"典故",,,2
"断章取义[汉语成语]",,,2
"反渗透",,,14
"逆渗透",,,14
"物理化学",,,14
"通用汽车公司",,,23
1908年9月16日,,,23
"中流砥柱",,,2
"增值税专用发票",,,6
"国家税务总局",,,6
"一般纳税人",,,6
"欧洲足联欧洲联赛",,,5
"欧洲足球联合会",,,5
"欧罗巴联赛",,,5
"欧霸杯",,,5
"足球比赛",,,5
"社会团体",,,5
"俱乐部",,,5
"体育赛事",,,5
jpg,,,3
JPEG,,,3
"图片格式",,,3
"世界波[精彩进球的概括]",,,5
"实况足球[Konami开发的游戏系列]",,,9
Pro Evolution Soccer,,,9
"竞技游戏",,,9
KONAMI,,,154
3D,,,9
"实况足球2017",,,9
"球员",,,9
"模拟游戏",,,9
"动作游戏",,,9
"吹毛求疵[成语]",,,2
"无中生有",,,2
"宽大为怀",,,2
"中性",,,2
"黑马股票",,,6
"造越位",,,5
"防守战术",,,5
"银球制",,,5
"否尽泰来",,,2
"否极泰来",,,2
"耳鬓厮磨",,,2
"摩登舞",,,4
"五项",,,4
"舞蹈",,,4
"和气道",,,5
"信托投资",,,23
"黑色家电",,,6
"白色家电",,,6
"生活用品",,,15
"银行汇票",,,6
"外家拳法",,,5
"武术流派",,,5
"异化作用",,,3
"生态学",,,3
"银行托收",,,6
"对偶婚",,,6
"对偶家庭",,,6
"分桃",,,3
"余桃",,,3
"包抄",,,2
outflank,,,2
"包围",,,2
"印花税",,,6
"法律",,,6
"税控",,,6
"继发性",,,15
"地下音乐",,,11
"特立独行",,,11
"越位[足球比赛规则]",,,5
Offside,,,5
1874年,,,5
"足球运动",,,5
"地景艺术",,,5
1960年,,,23
"美术",,,5
"市盈率",,,6
"股票财务术语",,,6
"现代舞",,,4
"消费税",,,6
"会计学",,,6
"税法",,,6
"会计",,,6
"法律法规",,,6
"贴现净额",,,2
"三资企业",,,6
"分道扬镳[汉语成语]",,,2
"投资回报率",,,6
ROI,,,6
"时效性",,,6
"返点",,,5
rebate,,,5
2009,,,5
"企业所得税",,,6
"格律诗",,,2
"南齐",,,5
"诗词",,,2
"百度[百度公司]",,,3
"网络信息服务",,,3
"李彦宏",,,3
"股票名称",,,6
"白洞[特殊天体]",,,23
"暂无",,,9
"未知",,,5
100%,,,23
"赴汤蹈火[2016年大卫·马肯兹执导美国电影]",,,9
Taylor Sheridan,,,9
102分钟,,,9
2016年8月12日,,,9
R级,,,9
"英语",,,9
"审计[独立性的经济监督活动]",,,6
"《中华人民共和国审计法》",,,6
"战术",,,6
tactics,,,6
"军事",,,6
"卓玛[藏族信奉的女神]",,,5
"度母",,,5
"神话人物",,,5
"企业家精神[企业家精神阐述]",,,3
Breaking,,,4
"太阳历",,,2
"内家拳法",,,5
"内功",,,5
"古体诗",,,2
"清明节[中华民族的传统节日]",,,1
"中国传统节日",,,1
"祭祀",,,6
"春分",,,1
"谷雨",,,1
"阿Q精神",,,3
"汗牛充栋",,,2
"水门事件",,,6
"水门大厦",,,6
"尼克松",,,6
"纳西古乐",,,2
"纳西族",,,4
14世纪,,,2
"敲打乐",,,2
"瓜田李下",,,2
"成语典故",,,2
"苏格拉底法则",,,3
"苏格拉底反诘法",,,3
"哲学",,,3
"学习委员",,,2
"学校",,,23
"四国方案",,,6
2005年5月16日,,,6
"非生物因素",,,3
"失业保险",,,6
"毛利率",,,6
"免抵退",,,2
"名词",,,2
"三角班",,,4
"采茶戏",,,4
"戏曲",,,4
"戏剧",,,4
"纳税调整",,,2
"情商[情绪、意志、性格、行为习惯组成的商数]",,,2
EQ,,,2
"企业管理学",,,2
"一塌糊涂bbs",,,3
1999年9月17日,,,3
"意识完美僻",,,3
"心理咨询",,,3
"硅谷综合症",,,5
"双规[特殊组织措施和调查手段]",,,6
"两规",,,6
"抑郁症",,,3
"抑郁障碍",,,3
depression,,,3
"精神科",,,3
"意识流小说",,,2
"写作技巧",,,2
"和硕[台湾企业名称]",,,6
"塔利班[伊斯兰原教旨主义运动组织]",,,1
"阿富汗",,,1
"伊斯兰教",,,6
"海巴图拉·阿洪扎达",,,1
"表现手法",,,2
"土体构型",,,3
"化学",,,3
"农学",,,26
"宾语从句",,,2
"指数级",,,3
"强迫症[神经精神疾病]",,,3
"账面价值",,,6
"催眠术[汉语词汇]",,,4
hypnotism,,,4
"希腊神话",,,4
"七杀[星系名称]",,,3
"天体",,,3
"动词不定式",,,9
infinitive,,,9
"非谓语动词",,,9
"百家争鸣[春秋战国时期历史局面]",,,2
"儒",,,2
"墨",,,2
"道",,,9
"法",,,6
"铵[化学名词]",,,3
"物理学",,,3
"儿童孤独症",,,3
"超导材料",,,3
"抗磁性",,,3
"同位素效应",,,3
"寒食节",,,6
"传统节日",,,6
"东亚文化圈",,,6
"晋国",,,5
"晋文公",,,1
"春秋",,,1
"节日",,,6
"双重人格[心理学术语]",,,3
"多重人格",,,3
"心理障碍",,,3
asp程序,,,12
"编程技术",,,12
"多元弱酸",,,3
"弱电解质",,,3
"天文",,,3
"反函数",,,3
"可逆性",,,3
"对数",,,3
logarithm,,,3
"回环句",,,2
"修辞",,,2
"过渡句",,,2
"承上启下",,,2
"句式",,,2
"哈勃半径",,,3
"哈勃定律",,,3
"光年",,,3
"挂马",,,3
"病毒",,,3
"勾股定理",,,3
"公元前551年",,,3
"几何学",,,2
"《几何原本》",,,3
"直角三角形",,,3
"官僚主义",,,6
"四风",,,6
msmsgs,,,3
"网络聊天",,,3
Windows Messenger,,,3
"发票",,,6
invoice,,,6
"收款凭证",,,6
"单项式",,,3
"数论",,,3
"傅雷家书",,,2
"天津社会科学院出版社",,,2
"平装",,,2
"傅敏",,,2
bios,,,3
"加权",,,3
weight,,,3
"统计学",,,3
DOS[DOS操作系统],,,3
"磁盘操作系统",,,3
"计算机操作系统",,,3
cmts[电缆调制解调器终端系统],,,3
"网络工程",,,3
"非淡泊无以明志，非宁静无以致远",,,2
"《诫子书》",,,2
"三国时期",,,2
"《诸葛亮集》",,,2
"词",,,2
id[身份标识号],,,9
ID,,,9
"机油",,,3
"发动机润滑油",,,3
"井田制",,,2
"汇率",,,6
"边界网关协议",,,3
Border Gateway Protocol,,,3
"荼蘼[2016年杨丞琳主演电视剧]",,,3
2016年10月7日,,,3
"徐誉庭",,,3
"借代句",,,2
"径流",,,1
"水利部发展研究中心",,,1
"祭童",,,2
"磁场[物理概念]",,,3
ntfs,,,3
"文件系统",,,3
ftp[文件传输协议],,,3
"曲尺",,,1
"明火",,,2
"两性氧化物",,,3
"化学分析",,,3
"绝对质量",,,3
"道尔顿",,,3
1803年,,,3
"可锻性",,,3
"冶金工程",,,3
"冶炼",,,3
"卵胎生",,,26
"欧拉公式",,,5
"欧拉方程",,,5
"莱昂哈德·欧拉",,,5
"新界[香港三大地理分区之一]",,,97
"亚热带季风气候",,,1
"香港国际机场",,,97
"红磡站",,,97
"民歌[音乐类别]",,,2
folks,,,2
"词语",,,2
"口头传播",,,2
ipc[桌面云产品],,,3
"进程间通信",,,3
"计算机",,,3
"曲线[Photoshop工具、微分几何学]",,,3
curve,,,3
"正则曲线",,,3
"微积分",,,3
c小调第五交响曲,,,4
"路德维希·凡·贝多芬",,,4
"古典",,,4
"命运交响曲",,,4
"古典音乐",,,4
Microsoft Office Access,,,3
"微软",,,3
"关系型数据库",,,3
"百度知道",,,3
"十相自在",,,6
"藏传佛教",,,6
"六字真言",,,6
Om Mani Padme Hum,,,6
"六字大明咒",,,6
"全等三角形",,,3
"摩尼宝珠",,,15
"木变石",,,3
"虎睛",,,3
"猫儿眼",,,3
"自然资源",,,3
"绿松石",,,3
"三斜晶系",,,3
"非均质集合体",,,3
5-6,,,3
"金刚杵",,,5
Vajra,,,5
"多吉",,,5
"金刚橛",,,6
"红玉髓",,,13
"隐晶质结构",,,13
"吉祥八宝",,,6
"噶乌",,,6
"转经筒",,,6
"玛尼轮",,,6
"瓦斯爆炸",,,3
"太平间",,,3
"医院",,,3
"希热布",,,5
"藏族",,,5
1961年,,,5
"画家",,,5
"艺术家",,,5
"十字金刚杵",,,6
"天珠[西藏天然材料制品]",,,2
"天降石",,,2
"挖墙脚",,,2
poach,,,2
"《统一战线中的独立自主问题》",,,2
"原教旨主义",,,6
fundamentalism,,,6
"意识形态",,,3
ideology,,,3
"青金石[稀有矿石]",,,3
"青金岩",,,3
"拉丁语",,,4
"等轴晶系",,,3
"曼陀罗[一种被子植物门植物]",,,26
"植物界",,,26
"双子叶植物纲",,,26
"菊亚纲",,,26
"茄目",,,26
"茄科",,,26
"曼陀罗族",,,26
"曼陀罗属",,,26
"市侩",,,2
"走穴",,,2
"演艺界",,,2
"党鞭",,,14
"英国",,,14
"吴清源[围棋大师]",,,5
"吴泉",,,5
"汉族",,,5
"运动员",,,5
"棋类",,,5
"跳槽[换工作换单位]",,,6
"以儆效尤",,,2
"惩一儆百",,,2
"一大二公",,,2
1958年,,,23
"社会主义建设总路线",,,2
"近代史",,,2
"文案",,,6
"唐卡[藏族绘画]",,,2
Thang-ga,,,2
2006年,,,4
"民间美术",,,2
"文化用品",,,4
"御宅族[亚文化爱好者]",,,2
"多边主义",,,5
"国际政治",,,5
"招安",,,6
"书记[职务]",,,5
"共产主义",,,5
"洗钱[一种将非法所得合法化的行为]",,,6
"违法",,,6
"反洗钱",,,6
"农村人民公社",,,2
1958年7月1日,,,2
"五谷[食物]",,,15
"五谷杂粮",,,15
"走合车",,,6
"交通工具",,,6
"主义",,,2
emc[EMC公司],,,5
"伪科学",,,2
1848年,,,2
"主流社会",,,2
"社会主义法制",,,2
"歇后语",,,2
"熟语",,,2
"俏皮话",,,2
"考试焦虑症",,,3
"厌氧菌",,,26
"细菌",,,26
bfm,,,9
"电路",,,9
"新西兰",,,9
"寻租",,,6
"唯灵论",,,3
"理想主义",,,3
"小资",,,6
"小隐于野大隐于市",,,2
"哲学思想",,,2
"东方朔",,,2
"汉朝",,,2
"通配符",,,3
"西学东渐",,,2
"物华天宝",,,2
"《秋日登洪府滕王阁饯别序》",,,2
"褒义词",,,2
"王勃",,,2
"唐朝",,,2
"雕塑",,,14
"校草",,,97
"台湾",,,97
"烟视媚行",,,2
"内海",,,1
"辎兵",,,2
"柏拉图[古希腊哲学家]",,,5
"雅典",,,14
"公元前427年",,,5
"公元前347年",,,5
"苏格拉底",,,5
"科学家",,,5
"员外",,,2
"右派",,,6
"右翼",,,6
"晕轮效应",,,3
"心理学",,,3
"社会心理学",,,3
"中国心理学会",,,3
"文艺复兴[14到17世纪的欧洲思想文化运动]",,,5
"文艺复兴运动",,,5
Renaissance,,,5
"意大利",,,5
"人文主义",,,5
"信仰[汉语词语]",,,6
belief,,,6
"乌托邦[词语]",,,2
Utopia,,,2
"议会制",,,2
"总督",,,2
"公元前205年",,,2
"汤力水",,,15
"奎宁水",,,15
"天妇罗",,,15
tempura,,,15
"日本料理",,,15
"油炸食品",,,15
"葡萄牙",,,5
"食品",,,15
"菜品",,,15
"小吃",,,15
"味噌",,,15
"硝水",,,3
"左支右绌",,,2
"什锦",,,2
"音叉[呈]",,,4
"娱乐设备",,,4
"佚名[无名氏]",,,2
Anonymous,,,3
